Shift_ID,Employee_ID,Shift_Date,Start_Time,End_Time,Min_Hours
1,1,1/2/2025,8:00,16:00,8
2,2,1/3/2025,8:00,16:00,8
3,3,1/4/2025,8:00,16:00,8
4,4,1/5/2025,8:00,16:00,8
5,5,1/6/2025,8:00,16:00,8
6,6,1/7/2025,8:00,16:00,8
7,7,1/8/2025,8:00,16:00,8
8,8,1/9/2025,8:00,16:00,8
9,9,1/10/2025,8:00,16:00,8
10,10,1/11/2025,8:00,16:00,8
11,11,1/12/2025,8:00,16:00,8
12,12,1/13/2025,8:00,16:00,8
13,13,1/14/2025,8:00,16:00,8
14,14,1/15/2025,8:00,16:00,8
15,15,1/16/2025,8:00,16:00,8
16,16,1/17/2025,8:00,16:00,8
17,17,1/18/2025,8:00,16:00,8
18,18,1/19/2025,8:00,16:00,8
19,19,1/20/2025,8:00,16:00,8
20,20,1/21/2025,8:00,16:00,8
21,21,1/22/2025,8:00,16:00,8
22,22,1/23/2025,8:00,16:00,8
23,23,1/24/2025,8:00,16:00,8
24,24,1/25/2025,8:00,16:00,8
25,25,1/26/2025,8:00,16:00,8
26,26,1/27/2025,8:00,16:00,8
27,27,1/28/2025,8:00,16:00,8
28,28,1/1/2025,8:00,16:00,8
29,29,1/2/2025,8:00,16:00,8
30,30,1/3/2025,8:00,16:00,8
31,31,1/4/2025,8:00,16:00,8
32,32,1/5/2025,8:00,16:00,8
33,33,1/6/2025,8:00,16:00,8
34,34,1/7/2025,8:00,16:00,8
35,35,1/8/2025,8:00,16:00,8
36,36,1/9/2025,8:00,16:00,8
37,37,1/10/2025,8:00,16:00,8
38,38,1/11/2025,8:00,16:00,8
39,39,1/12/2025,8:00,16:00,8
40,40,1/13/2025,8:00,16:00,8
